synthesis_id,theme,subtheme,citation_key,paper_id,study_design,population,variables,key_finding,evidence_role,relationship_to_current_study,strength_of_evidence,limitations_or_cautions,use_in_manuscript,source_location,confidence_rating,notes
SYN-0011,"Assessment design, psychometrics, and measurement issues",Item construction and cognitive-level classification (Bloom taxonomy),Bera2024AssessingPerformanceMultimodalChatgpt4,doi:10.1101/2024.01.12.24301222,Prospective exploratory simulation using 110 image-rich board-style MCQs (AI as examinee),110 image-rich MCQs assembled per ABR blueprints; ChatGPT-4 responses collected,"Item cognitive level, domain, modality, difficulty; correctness and confidence of AI responses","Paper demonstrates methods for assembling board-style items aligned to a blueprint, classifying items by cognitive level, rating difficulty, applying correction-for-guessing, and assessing reproducibility (Cohen's Kappa) — methodological examples relevant to constructing pre-board instruments.",methodological_support,Provides practical assessment construction and psychometric-check methods to apply when developing or evaluating institutional pre-board exams intended for predictive use.,strong,"Study used AI responses, not human examinees; items were not psychometrically validated; but methods remain applicable.",methodology_context,Methods and Results sections; Tables 1–3 per supplied summary,High,"Recommend applying item-level analyses (difficulty, cognitive level) and reliability checks to pre-board instruments."
SYN-0012,Institutional and cohort/contextual predictors (aggregate-level effects),Cohort size and institutional passing rates affecting failure counts,Ibañez2025RetrospectiveLongitudinalPredictiveAnalysis,doi:10.55248/gengpi.6.0625.2033,Retrospective longitudinal aggregated institutional analysis using Poisson/negative binomial regression,Aggregated yearly data (2014–2024) from five Philippine RT schools,"Total examinees, institutional passing rate, number failed first-time takers, failed repeaters, year (predictors); number of failed examinees (count outcome)",Cohort size (total examinees) was a significant positive predictor of number of failed examinees in some institutions; institutional passing rate was a significant negative predictor in one institution. Predictors varied across institutions with inconsistent significance.,direct_support,Alerts to the influence of cohort-level contextual variables; suggests including institutional/career timeline covariates or considering multi-level modeling if pooling across cohorts/institutions.,moderate,"Aggregated data cannot substitute for individual-level predictor analyses; heterogeneity across institutions and missing-year data (e.g., 2020 exam absence) complicate interpretation.",methodology_context,Tables 1–6 and methods description per supplied summary,High,Useful for institutional planning and controlling for cohort/contextual covariates.
SYN-0013,"Program policies, remediation, and review practices",Minimum pre-board score requirements and required preparation,ChristineGouveia2024PredictiveValidityHesiRadiography,doi:10.1016/j.radi.2021.04.004,Multisite retrospective correlational with program policy survey and path analysis,25 U.S. radiography programs; N=1265 graduates,"HESI scores; program policy indicators (minimum score required, required test prep, remediation); ARRT outcomes",Programs with policies requiring minimum HESI scores and required preparation had higher HESI scores and higher ARRT pass rates; path analysis indicated policies influenced ARRT outcomes indirectly via HESI performance.,indirect_support,Supports measuring program-level policy variables and considering mediation by pre-board performance when interpreting institutional differences in RT licensure outcomes.,strong,Context differs (U.S./ARRT) and participating programs tended to be higher-performing; temporal alignment of policies to cohorts uncertain.,discussion,Path analysis and policy tables referenced in paper summary,High,"Encourages capturing policy/practice variables (e.g., mandatory mock, remediation) as possible mediators/moderators in predictive models."
SYN-0014,Overall academic performance and professional-course grades as predictors,Admission test vs licensure outcomes,Cabatingan2024AdmissionTestProfessionalLicensure,local:admission-test-professional-licensure,Retrospective correlational institutional records (AY2015–2023),"178 BSRT students, AY 2015–2023 (Registrar and Guidance office records)",Admission test Stanine (predictor); Professional licensure examination average rating by year (outcome),Reported weak relationship between admission test stanine and average professional licensure rating for the cohort (exact correlation coefficient and p-value not reported in supplied extract).,direct_support,Suggests admission-test indicators may have limited predictive value relative to in-program academic and pre-board measures; relevant when selecting predictor candidate sets.,limited,"Exact statistics and p-values are To be confirmed; missing years (2018, 2020) due to COVID-19 noted; details on whether outcome is first-taker average or other are To be confirmed.",review_of_related_literature,Summary and methods notes per supplied evidence_table extract (Pages 1–5 referenced),Moderate,Useful cautionary evidence about admission-test predictive value; recommend confirming raw statistics in source.
SYN-0015,"Assessment design, psychometrics, and measurement issues",Reproducibility and reliability of assessment instruments,Bera2024AssessingPerformanceMultimodalChatgpt4,doi:10.1101/2024.01.12.24301222,Prospective exploratory simulation; two runs to assess reproducibility,110 image-rich MCQs; two separate runs/accounts producing responses,Answer correctness per run; reproducibility measures; Cohen's Kappa,Answers differed on 14% of questions between runs; Cohen's Kappa = .73 indicating substantial agreement; highlights need to assess reproducibility and reliability of assessment instruments.,methodological_support,"Informative for evaluating reliability of pre-board instruments (repeatability, inter-rater/run agreement) before using them as predictive inputs.",strong,"AI study context; human-administered exams may have different reliability characteristics, but conceptually applicable.",methodology_context,Reproducibility results and Cohen's Kappa: Pages 11–12 and Table 3 per supplied summary,High,Recommend reporting reproducibility metrics for pre-board exams.
SYN-0016,Pre-board / mock examination performance as predictor of licensure success,Programmatic implications and enhancement programs,Rabinoa2025MockBoardExaminationResult,doi:10.55248/gengpi.6.0525.19112,Retrospective paired-analysis with program recommendations,205 mock board records paired with PRC results (Davao City),Mock board scores and proposed enhancement interventions,"Authors proposed an enhancement program (weekly mock/comprehensive tests, peer mentoring, intensified review phases) based on the observed mock→licensure association; interventions not empirically tested within the study.",background_context,Provides programmatic interventions that could be assessed prospectively or included as covariates (review participation) when modeling licensure outcomes.,limited,Interventions are prescriptive; no evaluation data provided in the source.,recommendations,Recommendations and Enhancement Program sections (Pages 6–8) per supplied summary,High,Useful for discussing practical uses of predictive models for remediation planning.
SYN-0017,Institutional and cohort/contextual predictors (aggregate-level effects),Yearly trends and missing data impacts,Ibañez2025RetrospectiveLongitudinalPredictiveAnalysis,doi:10.55248/gengpi.6.0625.2033,Retrospective longitudinal institutional analysis (2014–2024),"Five RT schools, yearly aggregated counts 2014–2024","Institutional passing rates, total examinees, failed examinees (by first-taker vs repeater), year","Institutional performance varied across years and institutions; national passing rates dipped (e.g., lowest noted in 2021) and recovered by 2024; no licensure in 2020 noted. Missing years and institutional heterogeneity complicate longitudinal analysis.",methodological_support,"Highlights need to account for temporal disruptions (e.g., exam cancellations) and cohort-year effects when assembling retrospective datasets for predictive modeling.",moderate,Aggregated data; some table formatting inconsistencies in source extract; institutional heterogeneity indicates caution in generalization.,methodology_context,Tables 1 and descriptive trends per supplied summary (Pages 2–5),High,Plan for missing-year handling and cohort-year covariates.
SYN-0018,Overall academic performance and professional-course grades as predictors,Study-habits and GWA in RT,Oliva2021StudyHabitsTheirEffects,doi:10.18535/ijsrm/v9i07.el01,Descriptive-correlational; standardized questionnaire (PSSHI) with institutional GWA,"32 BSRT students (AY 2019–2020) from a university in Bulacan, Philippines",Study-habit domains (PSSHI) predictors; GWA professional and general education (outcomes),"All eight study-habit domains had positive regression coefficients with GWA but combined effects were not statistically significant (professional GWA R² = 0.246, F = 0.939, p = 0.505). Physical status domain had largest Beta but did not reach p < .05.",direct_support,Demonstrates measurement of study-habit constructs in RT samples and that in small single-site samples behavioral predictors may not explain large variance in academic performance; supports focusing on academic records and pre-board scores for licensure prediction.,limited,Small sample and single site; self-report measures; not linked to licensure outcomes.,review_of_related_literature,Methods and regression tables per supplied summary (Pages 2–11),High,Useful local-discipline background but limited for predicting RTLE.
SYN-0019,Pre-board / mock examination performance as predictor of licensure success,Feasibility of pairing review-center mock data with PRC outcomes,Rabinoa2025MockBoardExaminationResult,doi:10.55248/gengpi.6.0525.19112,Secondary data analysis pairing review center records with PRC results,205 review-center examinees with paired PRC RTLE outcomes (Davao City),Mock board scores (from review center) paired with PRC licensure outcomes,Data were successfully paired and anonymized; ethical procedures reported; demonstrates feasibility of accessing review-center scores and PRC outcomes for predictive analyses.,methodological_support,Practical precedent for obtaining paired mock and licensure data from local review centers and official PRC records; informs data access and ethical procedures for current study.,strong,Inclusion/exclusion criteria and handling of repeat examinees are not fully specified in supplied extract.,methodology_context,Methods: Participants and Measures; Ethical Considerations per supplied summary (Pages 3–4),High,Use as procedural precedent for data acquisition and anonymization.
SYN-0020,"Assessment design, psychometrics, and measurement issues",Correction-for-guessing and cognitive-level effects,Bera2024AssessingPerformanceMultimodalChatgpt4,doi:10.1101/2024.01.12.24301222,Exploratory item-level analysis using AI responses,110 MCQs assembled per ABR blueprint,"Raw percent correct, correction-for-guessing adjusted scores, cognitive-level (lower/higher-order)",Authors applied correction-for-guessing; reported raw accuracy and corrected-for-guessing adjusted scores; lower-order items had numerically higher correct rates but difference not significant. Demonstrates method for score adjustment and item-level classification.,methodological_support,Recommend applying correction-for-guessing and cognitive-level classification to institutional pre-board scores when used as predictors to better reflect examinee ability and to perform sensitivity analyses.,strong,AI context; human test-taking behaviors differ but measurement techniques are applicable.,methodology_context,Methods and Results (Pages 4–6) and Table 1 per supplied summary,High,Instruments used (Şenel et al. correction method referenced) — consider reporting adjusted and raw scores.
SYN-0021,"Program policies, remediation, and review practices",Institutional action plans and interventions proposed from readiness studies,Gallardo2025AttitudePreparednessChallengesRadiologic,doi:10.70838/pemj.350306,Cross-sectional survey with programmatic recommendations,54 RT graduates (batch 2024),"Self-reported attitude/preparedness/challenges; recommended interventions (mock exams, stress seminars, materials consolidation)","Authors propose institutional interventions (e.g., biannual mock exams, stress-coping seminars, peer review lecturers) targeted at improving perceived preparedness; interventions not empirically tested in the paper.",background_context,"Interventions provide plausible program responses to predictive findings (e.g., if pre-board identifies at-risk students) and can inform recommendations section.",limited,"Prescriptive, not evaluated.",recommendations,Table 7 and Recommendations sections per supplied summary (Pages 7–8),High,List of concrete institutional interventions to consider for remediation.
SYN-0022,Pre-board / mock examination performance as predictor of licensure success,Examples of program-level aggregated prediction (counts vs individual outcomes),Ibañez2025RetrospectiveLongitudinalPredictiveAnalysis,doi:10.55248/gengpi.6.0625.2033,Institution-level count regression (Poisson/negative binomial),Five RT schools aggregated 2014–2024,Institutional counts and rates (predictors) predicting counts of failed examinees,"Aggregate predictors (total examinees, institutional passing rate) explained institutional failure counts in some models but were inconsistent across institutions; suggests cohort-level factors matter for institutional planning but not for individual-level prediction.",methodological_support,Useful for considering higher-level covariates and for planning whether to include institution/cohort-level effects in modeling individual outcomes.,moderate,Aggregate-level analysis cannot replace individual-level predictor modeling; heterogeneity across institutions requires caution.,methodology_context,"Tables 2–6, model descriptions per supplied summary",High,Consider multi-level models if pooling across cohorts/institutions.
